おどろく（2個）,①（はっと）気づく　②（ふと）目を覚ます
おぼろけなり,①並一通りだ・ありきたりだ　②並々ではない・格別だ
あやにくなり（1個）,①(思いに反して)ひどい・(思いに反して)はなはだしい
まめやかなり（3個）,①まじめだ・本気だ　②実生活向きだ・実用的だ　③本格的だ・本式だ
せちなり（3個）,①切実だ・身にしみる　②大切だ・切迫している　③〔「せちに」の形で〕ひたすら・いちずに
よそなり（1個）,①無縁だ・無関係だ
うちつけなり（2個）,①突然だ・だしぬけだ　②軽率だ・無礼だ
とみなり（2個）,①急だ　②〔「とみに」の形で〕すぐに
みそかなり（1個）,①ひそかだ
こまやかなり（3個）,①心を込めている・丁寧だ　②色が濃い　③繊細で美しい
らうたげなり（1個）,①かわいらしい・可憐だ
いうなり（1個）,①優美だ・優れている
うち（2個）,①宮中・内裏　②天皇・帝
うへ（3個）,①天皇・帝　②奥様・奥方　③御座所・貴人のいる所
しな（1個）,①身分・家柄
ふるさと（3個）,①古都・旧都　②なじみのある土地　③実家・わが家
こころばへ（3個）,①心遣い・配慮　②性格・性質　③趣・風情
ひま（3個）,①すき間　②絶え間　③すき・機会
ひがごと（1個）,①間違い・過ち
とが（2個）,①欠点・短所　②罪・過ち
そらごと（1個）,①嘘・偽り
せうそこ（2個）,①手紙・伝言　②訪問・来意を告げること
くもゐ（3個）,①宮中・都　②天上・空　③遠く離れた所・はるか遠い所
かしこまり（3個）,①お礼　②お詫び　③謹慎
よ・よのなか（1個）,①男女の仲・夫婦の仲
かぎり（3個）,①(人生の)最期・最後　②すべて・全部　③だけ・ばかり
ここら・そこら（1個）,①たくさん
かたみに（1個）,①たがいに
わざと（3個）,①わざわざ　②特別に・とりわけ　③〔「わざとの」の形で〕本格的な・本式の
うたて（1個）,①いやなことに・不快に
かねて（2個）,①前もって・前から　②〔日数を示す語の下に付いて〕～前から
やをら（1個）,①そっと・静かに
よもすがら（1個）,①一晩中・夜通し
ゆめ・ゆめゆめ～打消・禁止（2個）,①まったく～ない・少しも～ない　②決して～(し)てはいけない・断じて～(し)てはいけない
をさをさ～打消（1個）,①ほとんど～ない・めったに～ない
あなかま（1個）,①しっ、静かに・ああ、うるさい
かちより（1個）,①歩いて・徒歩で
けしからず（1個）,①異様だ・変だ
ここから第５章　　おもひやる（1個）,①想像する・思いをはせる
おきつ（2個）,①あらかじめ決める・決めておく　②指図する・命令する
すまふ（1個）,①抵抗する・断る
さす（2個）,①閉める・鍵をかける　②途中で～（する）のをやめる
しほたる（1個）,①涙で袖が濡れる・涙を流す
たばかる（2個）,①工夫する・一計を案じる　②だます・ごまかす
まつりごつ（1個）,①政治を行う
らうらうじ（2個）,①もの慣れている・才たけている　②気品がある・洗練されている
むくつけし（1個）,①不気味だ・気味が悪い
おほけなし（1個）,①身の程知らずだ・分不相応だ
いぶせし（1個）,①気が晴れない・気になる
しるし（2個）,①明白だ・明瞭だ　②〔「～もしるく」の形で〕～もそのとおりに・～もてきめんに
こよなし（2個）,①格段である・格段の差がある　②格段に劣っている
くやし（1個）,①悔やまれる・後悔される
たのし（1個）,①裕福だ・豊かだ
おもはずなり（1個）,①思いがけない・意外だ
ことなり（2個）,①別である・ほかと違う　②〔「こと＋名詞」の形で〕違う～・異なる～
いろ（2個）,①情趣・風情　②恋愛・異性
こころ（1個）,①情趣を解する心・風流心
ゆゑ（3個）,①理由・わけ　②品格・由緒　③風情・趣
あない（1個）,①内情
さた（3個）,①評議・評定　②指図・命令　③処置・始末
やう（3個）,①わけ・事情　②手段・方法　③こと・様子
あらまし（1個）,①計画・予定・願い
いそぎ（1個）,①準備・用意
つま（2個）,①先・端　②きっかけ・糸口
はらから（1個）,①兄弟姉妹
けぢめ（1個）,①区別・違い
そのかみ（2個）,①その時　②その昔
ただびと（2個）,①臣下　②普通の貴族
をりふし（2個）,①ちょうどその時・折も折　②その時々・折々・季節
はやく（3個）,①以前・昔　②すでに・とっくに　③〔「はやく～けり」の形で〕なんとまあ・実は
つくづくと（1個）,①しんみりと・しみじみと
せめて（2個）,①無理やり・しいて　②非常に・きわめて
さりとも（1個）,①いくらなんでも・それにしても
さて（2個）,①そのまま・そのような状態で　②〔「さての」の形で〕そのほかの・それ以外の
おほかた～打消（1個）,①まったく～じゃない・少しも～ない
かまへて（3個）,①注意して・気をつけて　②ぜひとも　③決して
させる（1個）,①たいした・これといった
さはれ（1個）,①どうにでもなれ・ままよ
いとしもなし（1個）,①たいしたことはない
かずならず（1個）,①取るに足りない・物の数ではない
いかにぞや（1個）,①あまり感心しない・どんなものか
さればよ　さればこそ（1個）,①思ったとおりだ・案の定
よのつねなり（2個）,①ありきたりだ・普通だ　②月並みな表現だ
ただならず（3個）,①様子が普通ではない　②心が平静ではない　③〔「ただならずなる」の形で〕妊娠する・懐妊する
ものもおぼえず（2個）,①呆然としている・われを失っている　②道理をわきまえない
ひとやりならず（1個）,①他のせいではなく、自分の心からする
またのひ（1個）,①翌日・次の日
～あへず（1個）,①最後まで～しきれない
